"","Ob","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","Age","Age_new","TotalArea2","BsmtFinSF1_New","Neighborhood_Class","TotalArea2_Transformed","Age_new_Transformed","LotArea_Transformed","BsmtFinSF1_New_Transformed"
"11",11,30,"RL",67,4853,"Pave","No Alley","Reg","Bnk","Inside","Gtl","SWISU","Artery","Norm","1Fam","1Story",5,6,1924,1999,"Gable","CompShg","MetalSd","VinylSd","BrkFace",203,"TA","TA","BrkTil","TA","TA","Mn","Rec",133,"Unf",0,974,1107,"GasA","Fa","N","FuseA",1296,0,0,1296,0,0,2,0,2,1,"Fa",5,"Typ",1,"Gd","Detchd",1979,"Unf",1,260,"TA","TA","Y",0,0,36,0,0,0,"Not Applicable","MnPrv","No misc feature",0,5,2010,"WD","Normal",122584.4909,86,86,4162,133,"low",8.03203364442389,4.4140049624421,8.48735234940522,3.39596269041207
"12",12,20,"RL",57,6420,"Pave","No Alley","IR1","Lvl","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,7,1952,1952,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","Ex","Gd","Mn","LwQ",210,"ALQ",551,219,980,"GasA","Fa","Y","FuseA",1148,0,0,1148,0,1,1,0,2,1,"TA",6,"Typ",0,"Not Applicable","Detchd",1952,"Unf",1,308,"TA","TA","Y",0,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,9,2006,"WD","Normal",127425.1227,54,54,3584,210,"low",7.73734568107068,3.77976314968462,8.76717339668401,3.80675409583932
"13",13,20,"RL",100,18494,"Pave","No Alley","IR1","Lvl","Corner","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1324,1324,"GasA","Ex","Y","SBrkr",1324,0,0,1324,0,0,2,0,3,1,"Gd",6,"Typ",0,"Not Applicable","Attchd",2005,"Fin",2,430,"TA","TA","Y",36,23,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,1,2010,"WD","Normal",170018.2119,5,5,4402,1,"middle",8.14540174955131,1.7099759466767,9.82520163413758,1
"14",14,120,"RL",50,7175,"Pave","No Alley","Reg","Lvl","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story",6,5,1984,1984,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","ALQ",623,"LwQ",121,0,744,"GasA","TA","Y","SBrkr",752,0,0,752,1,0,1,0,2,1,"TA",4,"Typ",0,"Not Applicable","Attchd",1984,"Unf",1,264,"TA","TA","Y",353,0,0,0,90,0,"Not Applicable","MnPrv","No misc feature",0,2,2010,"WD","Normal",128933.0031,26,26,2512,623,"middle",7.07953786235844,2.96249606840737,8.87835804062782,4.99599519102024
"15",15,70,"RL",69,11737,"Pave","No Alley","IR1","Bnk","Inside","Gtl","BrkSide","Norm","Norm","1Fam","2Story",6,7,1924,1996,"Gambrel","CompShg","BrkComm","Stucco","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,848,848,"GasW","TA","N","SBrkr",1017,810,0,1827,0,0,1,0,2,1,"TA",9,"Typ",1,"Gd","Detchd",1943,"Unf",1,240,"Fa","TA","Y",27,36,42,0,0,0,"Not Applicable","GdPrv","No misc feature",0,5,2006,"WD","Normal",146785.0196,82,82,4742,1,"low",8.2983239996247,4.34448148576861,9.37050152410012,1
"16",16,30,"RL",60,10800,"Pave","Grvl","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",5,7,1920,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,720,720,"GasA","TA","N","SBrkr",846,0,0,846,0,0,1,0,2,1,"Gd",4,"Typ",0,"Not Applicable","Detchd",1980,"Fin",2,576,"TA","TA","N",0,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,6,2009,"WD","Normal",98874.92775,89,89,2988,1,"low",7.39341608966152,4.46474509558454,9.28730141311231,1
"17",17,50,"RM",52,6240,"Pave","No Alley","Reg","Lvl","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",6,5,1938,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","BrkTil","TA","TA","No","LwQ",52,"Unf",0,809,861,"GasA","Gd","Y","SBrkr",861,548,0,1409,1,0,1,1,3,1,"TA",6,"Typ",1,"Gd","Detchd",1968,"Unf",2,528,"TA","TA","Y",225,0,84,0,0,0,"Not Applicable","No Fence","No misc feature",0,3,2007,"WD","Normal",137499.052,69,69,4207,52,"low",8.05365697510926,4.10156592970235,8.73873546136347,2.68534961428265
"18",18,20,"RL",87,11146,"Pave","No Alley","IR1","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",250,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",0,1709,1709,"GasA","Ex","Y","SBrkr",1717,0,0,1717,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2006,"RFn",3,908,"TA","TA","Y",169,39,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,7,2009,"WD","Normal",259511.3995,3,3,6301,1,"very high",8.90948025924434,1.44224957030741,9.31883596812948,1
"19",19,20,"RL",78,8050,"Pave","No Alley","IR1","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","MetalSd","MetalSd","BrkFace",150,"TA","TA","CBlock","TA","TA","No","BLQ",856,"Rec",162,125,1143,"GasA","TA","Y","SBrkr",1143,0,0,1143,1,0,1,0,3,1,"TA",6,"Typ",0,"Not Applicable","Attchd",1959,"RFn",1,308,"TA","TA","Y",0,0,0,0,0,0,"Not Applicable","GdPrv","No misc feature",0,5,2010,"WD","Normal",147993.9476,51,51,3887,856,"middle",7.89593628413156,3.70842976926619,8.99342737041261,5.40901818047006
"20",20,160,"FV",50,4447,"Pave","No Alley","IR1","Lvl","FR2","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,530,530,"GasA","Ex","Y","SBrkr",530,550,0,1080,0,0,2,1,2,1,"Gd",4,"Typ",0,"Not Applicable","Attchd",2003,"RFn",2,496,"TA","TA","Y",0,50,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,7,2006,"WD","Normal",158752.14,3,3,3186,1,"high",7.51296633605398,1.44224957030741,8.3999849905107,1
"21",21,20,"RL",95,10324,"Pave","No Alley","IR1","Lvl","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2008,2008,"Gable","CompShg","VinylSd","VinylSd","BrkFace",140,"Gd","TA","PConc","Gd","TA","Av","GLQ",872,"Unf",0,382,1254,"GasA","Ex","Y","SBrkr",1254,0,0,1254,1,0,2,0,2,1,"Gd",5,"Typ",0,"Not Applicable","Attchd",2008,"RFn",3,810,"TA","TA","Y",168,92,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,3,2009,"WD","Normal",255177.503,1,1,4712,872,"high",8.28516802526793,1,9.2422265608385,5.43411870688033
"22",22,20,"RL",80,8816,"Pave","No Alley","Reg","Lvl","Corner","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",5,6,1963,1963,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","Rec",651,"Unf",0,470,1121,"GasA","TA","Y","SBrkr",1121,0,0,1121,1,0,1,0,3,1,"TA",5,"Typ",0,"Not Applicable","Detchd",1963,"Unf",2,480,"TA","TA","Y",0,80,0,0,0,0,"Not Applicable","MnPrv","No misc feature",0,6,2009,"WD","Normal",142884.0641,46,46,3843,651,"low",7.87349572676048,3.58304787101595,9.0843235313927,5.0512079391316
"23",23,30,"RM",40,3636,"Pave","No Alley","Reg","Lvl","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1Story",4,4,1922,1950,"Gable","CompShg","AsbShng","AsbShng","None",0,"TA","TA","BrkTil","TA","Fa","No","Unf",0,"Unf",0,796,796,"GasA","Fa","N","SBrkr",796,0,0,796,0,0,1,0,2,1,"TA",5,"Typ",0,"Not Applicable","Not Applicable",1930,"Not Applicable",0,0,"Not Applicable","Not Applicable","N",0,0,100,0,0,0,"Not Applicable","MnPrv","No misc feature",0,1,2008,"WD","Normal",58956.12332,86,86,2388,1,"low",6.99050548182908,4.4140049624421,8.19863945529737,1
"24",24,20,"RL",88,11577,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",9,5,2005,2006,"Hip","CompShg","VinylSd","VinylSd","BrkFace",382,"Ex","TA","PConc","Gd","TA","Gd","GLQ",1455,"Unf",0,383,1838,"GasA","Ex","Y","SBrkr",1838,0,0,1838,1,0,2,0,3,1,"Ex",9,"Typ",1,"Gd","Attchd",2005,"Fin",3,682,"TA","TA","Y",161,225,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,9,2006,"New","Partial",355210.6605,1,1,6578,1455,"high",9.00582424789461,1,9.35677565020573,6.1761203231091
"25",25,70,"RL",120,13728,"Pave","No Alley","Reg","Lvl","Corner","Gtl","Edwards","Norm","Norm","1Fam","2Story",6,7,1935,1986,"Hip","CompShg","Stucco","Stucco","None",0,"TA","TA","CBlock","TA","TA","No","Rec",626,"Unf",0,501,1127,"GasA","Ex","Y","SBrkr",1236,872,0,2108,0,0,2,0,4,1,"Gd",7,"Typ",2,"TA","Basment",1935,"Unf",2,540,"TA","TA","Y",0,0,0,0,90,0,"Not Applicable","No Fence","No misc feature",0,7,2008,"WD","Normal",238838.2913,73,73,5883,626,"low",8.75789455726538,4.17933919638123,9.52719282172774,5.00199880111877
"26",26,20,"RL",70,9100,"Pave","No Alley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2001,2001,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1212,1212,"GasA","Ex","Y","SBrkr",1212,0,0,1212,0,0,2,0,3,1,"Gd",6,"Typ",0,"Not Applicable","Attchd",2001,"RFn",2,573,"TA","TA","Y",356,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,6,2009,"WD","Normal",181898.7608,8,8,4209,1,"high",8.05461397791566,2,9.11602969250494,1
"27",27,50,"RM",50,5925,"Pave","No Alley","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",3,6,1910,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,600,600,"Grav","Fa","N","SBrkr",600,368,0,968,0,0,1,0,2,1,"TA",6,"Typ",0,"Not Applicable","Not Applicable",1924,"Not Applicable",0,0,"Not Applicable","Not Applicable","Y",0,0,0,0,0,0,"Not Applicable","GdWo","No misc feature",0,5,2009,"WD","Abnorml",42031.79042,99,99,2536,1,"low",7.09638733779778,4.62606500918274,8.68693596600333,1
"28",28,20,"RL",98,12291,"Pave","No Alley","IR1","Lvl","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",10,5,2007,2007,"Hip","CompShg","CemntBd","CmentBd","BrkFace",754,"Ex","TA","PConc","Ex","TA","Av","GLQ",1572,"Unf",0,394,1966,"GasA","Ex","Y","SBrkr",1966,0,0,1966,1,0,2,0,1,1,"Ex",6,"Typ",1,"Gd","Attchd",2007,"Fin",3,1092,"TA","TA","Y",76,52,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,10,2007,"New","Partial",439720.2165,1,1,7744,1572,"high",9.38083151964686,1,9.41662256621498,6.29670193062988
"29",29,20,"RL",93,12085,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Hip","CompShg","VinylSd","VinylSd","Stone",328,"Gd","TA","PConc","Ex","TA","No","GLQ",1004,"Unf",0,730,1734,"GasA","Ex","Y","SBrkr",1734,0,0,1734,1,0,2,0,3,1,"Ex",7,"Typ",1,"Gd","Attchd",2007,"RFn",3,928,"TA","TA","Y",0,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,11,2007,"New","Partial",322084.2654,1,1,6458,1004,"very high",8.96446777067427,1,9.39972029313758,5.6290282496635
"30",30,120,"RL",48,3242,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",7,5,2003,2003,"Gable","CompShg","VinylSd","Wd Shng","Stone",235,"Gd","TA","PConc","Gd","TA","No","GLQ",1000,"Unf",0,405,1405,"GasA","Ex","Y","SBrkr",1405,0,0,1405,1,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2003,"RFn",2,478,"TA","TA","Y",136,36,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,3,2007,"WD","Normal",219408.8898,4,4,4928,1000,"very high",8.37852702443198,1.5874010519682,8.08394570229562,5.62341325190349
"31",31,50,"RL",60,9060,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",6,5,1939,1950,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","Mn","Rec",204,"Unf",0,356,560,"GasA","TA","Y","SBrkr",698,560,0,1258,0,0,1,0,2,1,"TA",6,"Typ",0,"Not Applicable","Detchd",1939,"Unf",1,280,"TA","TA","P",0,0,0,0,0,0,"Not Applicable","MnPrv","No misc feature",0,10,2009,"WD","Normal",108912.1865,70,70,3356,204,"low",7.61124125434485,4.12128529980856,9.11162439903702,3.77926670891136
"32",32,160,"RM",21,1869,"Pave","No Alley","Reg","Lvl","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,6,1970,1970,"Gable","CompShg","HdBoard","HdBoard","BrkFace",127,"TA","TA","CBlock","TA","TA","No","Rec",321,"Unf",0,162,483,"GasA","TA","Y","SBrkr",483,504,0,987,0,0,1,1,2,1,"TA",5,"Typ",0,"Not Applicable","Detchd",1987,"Unf",1,280,"TA","TA","Y",0,0,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,9,2008,"WD","Normal",110043.6042,38,38,2864,321,"low",7.31548717728619,3.36197540679896,7.53315880745556,4.23278547379488
"33",33,60,"RL",65,8461,"Pave","No Alley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",6,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,728,728,"GasA","Ex","Y","SBrkr",728,728,0,1456,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2005,"Fin",2,390,"TA","TA","Y",0,24,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,7,2006,"New","Partial",167979.5002,1,1,4030,1,"high",7.96757685826849,1,9.0432226489245,1
"34",34,50,"RL",74,16287,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",5,6,1925,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",130,"BLQ",105,666,901,"GasA","TA","Y","SBrkr",901,450,0,1351,1,0,1,0,3,1,"TA",7,"Typ",1,"Gd","Detchd",1975,"Unf",2,576,"TA","TA","N",0,0,43,0,100,0,"Not Applicable","No Fence","No misc feature",0,7,2007,"WD","Normal",124611.7368,82,82,4179,130,"low",8.04022297175743,4.34448148576861,9.69812252257356,3.37664837538518
"35",35,20,"RL",113,13438,"Pave","No Alley","IR1","HLS","Corner","Gtl","Timber","Norm","Norm","1Fam","1Story",9,5,2008,2008,"Gable","CompShg","CemntBd","CmentBd","Stone",246,"Ex","TA","CBlock","Ex","TA","Gd","GLQ",1758,"Unf",0,432,2190,"GasA","Ex","Y","SBrkr",2036,0,0,2036,1,0,2,0,3,1,"Ex",9,"Typ",1,"Ex","Attchd",2008,"Fin",3,780,"TA","TA","Y",90,154,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,7,2009,"WD","Normal",391349.7257,1,1,7288,1758,"high",9.23957704019249,1,9.5058417934801,6.47522282137636
"36",36,20,"RL",124,27697,"Pave","No Alley","Reg","Lvl","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1Story",4,3,1961,1961,"Shed","CompShg","Plywood","Plywood","BrkFace",198,"TA","TA","CBlock","TA","TA","No","BLQ",811,"Unf",0,585,1396,"GasA","TA","N","SBrkr",1608,0,0,1608,0,0,1,0,3,1,"TA",6,"Typ",0,"Not Applicable","Attchd",1961,"Unf",1,444,"TA","Fa","Y",152,38,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,11,2007,"COD","Abnorml",166455.3118,46,46,5254,811,"middle",8.51378183286843,3.58304787101595,10.2290793830611,5.33648402338059
"37",37,20,"RL",78,10603,"Pave","No Alley","IR1","Lvl","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,7,1977,2001,"Gable","CompShg","Plywood","Plywood","BrkFace",28,"TA","TA","PConc","TA","TA","Mn","ALQ",1200,"Unf",0,410,1610,"GasA","Gd","Y","SBrkr",1610,0,0,1610,1,0,2,0,3,1,"Gd",6,"Typ",2,"TA","Attchd",1977,"RFn",2,480,"TA","TA","Y",168,68,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,2,2010,"WD","Normal",208992.3911,33,33,5338,1200,"middle",8.54760889550004,3.20753432999583,9.2688922589258,5.88566191276542
"38",38,60,"RL",95,12350,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2009,2009,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","GLQ",986,"Unf",0,379,1365,"GasA","Ex","Y","SBrkr",1365,1325,0,2690,1,0,2,1,3,1,"Ex",8,"Typ",1,"Gd","Attchd",2009,"RFn",3,864,"TA","TA","Y",0,197,0,0,0,0,"Not Applicable","No Fence","No misc feature",0,7,2009,"New","Partial",416825.7534,1,1,7609,986,"very high",9.33967783909978,1,9.42141134205612,5.60362712323145
"39",39,190,"C (all)",60,7200,"Pave","No Alley","Reg","Lvl","Corner","Gtl","OldTown","Norm","Norm","2fmCon","2.5Unf",6,6,1910,1998,"Hip","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","Fa","Mn","Rec",1046,"Unf",0,168,1214,"GasW","Ex","N","SBrkr",1260,1031,0,2291,0,1,2,0,4,2,"TA",9,"Typ",1,"Gd","Detchd",1900,"Unf",2,506,"TA","TA","Y",0,0,0,0,99,0,"Not Applicable","No Fence","No misc feature",0,11,2007,"WD","Normal",137830.9878,97,97,6302,1046,"low",8.90983373290194,4.59470089220704,8.88183630500415,5.68699597833447
